code,name,current_price,high_250d,low_250d,gain_from_low,volume_surge_ratio,current_value,avg_value_20d,market_cap,turnover_ratio,inst_net_buy,foreign_net_buy,inst_volume,foreign_volume,trading_date
005380,현대차,290000,289500,175800,64.96,3.63,10503.11,2891.62,593797.52,1.77,1027.62,520.96,354351,179640,20251031
001440,대한전선,24200,21950,10000,142.0,4.47,4257.34,953.05,45120.25,9.44,97.94,520.66,404697,2151468,20251031
352820,하이브,341000,331000,180400,89.02,2.05,1879.39,916.86,143554.26,1.31,388.86,162.66,114035,47701,20251031
307950,현대오토에버,203500,191800,107000,90.19,11.95,2884.23,241.44,55807.8,5.17,176.06,208.34,86516,102376,20251031
011070,LG이노텍,241000,233000,121000,99.17,2.45,993.9,405.12,57037.73,1.74,261.35,51.08,108445,21197,20251031
000500,가온전선,84000,83800,33300,152.25,5.96,459.43,77.11,13896.22,3.31,78.07,69.62,92937,82880,20251031
005387,현대차2우B,220000,216500,133300,65.04,2.54,868.16,342.25,76920.65,1.13,94.25,1.87,42842,848,20251031
117730,티로보틱스,18420,17300,6240,195.19,2.97,971.35,327.59,3693.3,26.3,-1.84,39.7,-9987,215532,20251031
005385,현대차우,217000,211000,132000,64.39,2.29,605.13,264.8,50649.88,1.19,-3.59,27.7,-1653,12765,20251031
477380,미래에셋비전스팩4호,2095,2075,1942,7.88,2.02,0.4,0.2,169.7,0.24,0.3,0.0,14532,23,20251031
